Supervisión;Curso ;matricula_por_supervisión_y_curso
-;1°;72
01 - Secundario Orientado;1°;1171
01 - Secundario Orientado Privada;1°;1131
01 - Secundario Técnico;1°;1967
02 - Secundario Orientado;1°;802
02 - Secundario Orientado Privada;1°;703
02 - Secundario Técnico;1°;2057
03 - Secundario Orientado;1°;1521
03 - Secundario Orientado Privada;1°;1068
03 - Secundario Técnico;1°;1732
04 - Secundario Orientado;1°;792
04 - Secundario Orientado Privada;1°;1036
04 - Secundario Técnico;1°;442
05 - Secundario Orientado;1°;1927
05 - Secundario Orientado Privada;1°;965
05 - Secundario Técnico;1°;1508
06 - Secundario Orientado;1°;1499
06 - Secundario Orientado Privada;1°;946
06 - Secundario Técnico;1°;1464
07 - Secundario Orientado;1°;1014
07 - Secundario Orientado Privada;1°;1070
08 - Secundario Orientado;1°;1079
09 - Secundario Orientado;1°;944
10 - Secundario Orientado;1°;1026
11 - Secundario Orientado;1°;807
12 - Secundario Orientado;1°;136
13 - Secundario Orientado;1°;845
14 - Secundario Orientado;1°;506
15 - Secundario Orientado;1°;849
16 - Secundario Orientado;1°;646
17 - Secundario Orientado;1°;945
18 - Secundario Orientado;1°;974
